replication,country_balance,physical_balance,scale_gap,direction_reversal
225,-0.2884210526,-0.4868233761,0.1984023235,False
226,-0.2,-0.2310639412,0.03106394117,False
227,-0.2,-0.588506974,0.388506974,False
228,-0.4147368421,-0.7343461792,0.3196093371,False
229,-0.3726315789,-0.5066845209,0.134052942,False
230,-0.1115789474,-0.4814135518,0.3698346044,False
231,-0.2926315789,-0.6369491142,0.3443175353,False
232,-0.2968421053,-0.3063256716,0.009483566306,False
233,-0.28,-0.6103510398,0.3303510398,False
234,-0.1326315789,-0.5006663564,0.3680347774,False
235,-0.3515789474,-0.5051565849,0.1535776376,False
236,-0.1073684211,-0.4258255641,0.3184571431,False
237,-0.2084210526,-0.179016638,-0.0294044146,False
238,-0.28,-0.6788610449,0.3988610449,False
239,-0.36,-0.5962272609,0.2362272609,False
240,-0.2210526316,-0.1922479307,-0.02880470084,False
241,-0.2926315789,-0.5963144604,0.3036828814,False
242,-0.2252631579,-0.6027143661,0.3774512082,False
243,-0.3768421053,-0.6490731478,0.2722310425,False
244,-0.2884210526,-0.365133538,0.07671248534,False
245,-0.1789473684,-0.1747418135,-0.004205554876,False
246,-0.3810526316,-0.7232725769,0.3422199453,False
247,-0.2673684211,-0.5645349702,0.2971665491,False
248,-0.1789473684,-0.1811511703,0.002203801856,False
249,-0.3221052632,-0.6730485539,0.3509432907,False
250,-0.2378947368,-0.5220486749,0.2841539381,False
251,-0.2042105263,-0.6120859042,0.4078753779,False
252,-0.2336842105,-0.4327965119,0.1991123014,False
253,-0.2505263158,-0.6530820279,0.4025557121,False
254,-0.2926315789,-0.5602328845,0.2676013055,False
255,-0.3810526316,-0.5430977754,0.1620451438,False
256,-0.09473684211,-0.472344842,0.3776079999,False
257,-0.3178947368,-0.2317514396,-0.08614329724,False
258,-0.2673684211,-0.5174198583,0.2500514373,False
259,-0.1578947368,-0.6411190685,0.4832243317,False
260,-0.2715789474,-0.34587168,0.07429273266,False
261,-0.1705263158,-0.1305084257,-0.04001789005,False
262,-0.2336842105,-0.6288797636,0.3951955531,False
263,-0.3389473684,-0.4428037831,0.1038564147,False
264,-0.1789473684,-0.1208421062,-0.05810526225,False
265,-0.2631578947,-0.5176066973,0.2544488026,False
266,-0.4063157895,-0.671731443,0.2654156535,False
267,-0.3347368421,-0.3114061723,-0.02333066983,False
268,-0.2926315789,-0.2559339197,-0.03669765926,False
269,-0.3936842105,-0.6659129625,0.272228752,False
270,-0.4147368421,-0.6336911781,0.218954336,False
271,-0.2168421053,-0.4766435694,0.2598014641,False
272,-0.1157894737,-0.4285458509,0.3127563773,False
273,-0.2842105263,-0.6020089805,0.3177984542,False
274,-0.2547368421,-0.4011222125,0.1463853704,False
275,-0.1873684211,-0.440729031,0.2533606099,False
276,-0.1831578947,-0.1971707882,0.01401289342,False
277,-0.3515789474,-0.4243812001,0.0728022527,False
278,-0.2505263158,-0.4966294,0.2461030842,False
279,-0.2463157895,-0.5455783526,0.2992625631,False
280,-0.2968421053,-0.507613316,0.2107712107,False
281,-0.1368421053,-0.09221992254,-0.04462218272,False
282,-0.1326315789,-0.4944285175,0.3617969385,False
283,-0.2126315789,-0.05414713481,-0.1584844441,False
284,-0.2673684211,-0.6609506008,0.3935821797,False
285,-0.2463157895,-0.6025248317,0.3562090422,False
286,-0.2,-0.501606353,0.301606353,False
287,-0.3221052632,-0.4889808249,0.1668755617,False
288,-0.2547368421,-0.5552995669,0.3005627248,False
289,-0.3010526316,-0.6377774526,0.3367248211,False
290,-0.2715789474,-0.1476250506,-0.1239538968,False
291,-0.3978947368,-0.4971689489,0.09927421211,False
292,-0.3852631579,-0.7674478751,0.3821847172,False
293,-0.2294736842,-0.6156471942,0.38617351,False
294,-0.1073684211,-0.03108536544,-0.07628305562,False
295,-0.2505263158,-0.6786687791,0.4281424633,False
296,-0.2673684211,-0.3012912744,0.0339228534,False
297,-0.2968421053,-0.7300959722,0.433253867,False
298,-0.2589473684,-0.7173623946,0.4584150262,False
299,-0.2378947368,-0.5282775929,0.290382856,False
300,-0.2252631579,-0.2021250456,-0.02313811232,False
301,-0.2842105263,-0.6440451191,0.3598345928,False
302,-0.4021052632,-0.3312983017,-0.07080696148,False
303,-0.4147368421,-0.7163543393,0.3016174972,False
304,-0.1873684211,-0.4898922429,0.3025238219,False
305,-0.2463157895,-0.5072421612,0.2609263718,False
306,-0.1789473684,-0.4858582297,0.3069108613,False
307,-0.4273684211,-0.7908317109,0.3634632899,False
308,-0.2294736842,-0.3634789181,0.1340052339,False
309,-0.28,-0.6695691039,0.3895691039,False
310,-0.2463157895,-0.440136976,0.1938211865,False
311,-0.3221052632,-0.7045658811,0.382460618,False
312,-0.3010526316,-0.5351595101,0.2341068786,False
313,-0.2631578947,-0.6409635808,0.3778056861,False
314,-0.3810526316,-0.7315441524,0.3504915208,False
315,-0.1494736842,-0.2644661407,0.1149924564,False
316,-0.08210526316,-0.3334245786,0.2513193154,False
317,-0.2505263158,-0.2269340217,-0.0235922941,False
318,-0.2421052632,-0.5568989168,0.3147936536,False
319,-0.1452631579,-0.08165560899,-0.0636075489,False
320,-0.2673684211,-0.4997786716,0.2324102505,False
321,-0.2884210526,-0.6718192896,0.383398237,False
322,-0.1368421053,-0.06932198163,-0.06752012363,False
323,-0.1326315789,-0.2396111698,0.1069795909,False
324,-0.1157894737,-0.4145483351,0.2987588615,False
325,-0.1831578947,-0.09791346847,-0.08524442627,False
326,-0.1157894737,-0.1789984612,0.06320898751,False
327,-0.4357894737,-0.7970360421,0.3612465685,False
328,-0.06947368421,-0.02408455819,-0.04538912602,False
329,-0.2210526316,-0.4530499289,0.2319972973,False
330,-0.2673684211,-0.52173304,0.2543646189,False
331,-0.1621052632,-0.3747013364,0.2125960732,False
332,-0.2126315789,-0.4027865848,0.1901550059,False
333,-0.2294736842,-0.5029449755,0.2734712913,False
334,-0.3557894737,-0.4764941044,0.1207046307,False
335,-0.4484210526,-0.7758470409,0.3274259883,False
336,-0.2042105263,-0.07178836268,-0.1324221636,False
337,-0.3978947368,-0.6391052295,0.2412104927,False
338,-0.1494736842,-0.05214562868,-0.09732805553,False
339,-0.3178947368,-0.572694876,0.2548001392,False
340,-0.2631578947,-0.5253979321,0.2622400373,False
341,-0.3263157895,-0.6004433376,0.2741275482,False
342,-0.3936842105,-0.5841463403,0.1904621298,False
343,-0.2505263158,-0.615498415,0.3649720992,False
344,-0.1452631579,-0.3512689733,0.2060058154,False
345,-0.3852631579,-0.6784297612,0.2931666033,False
346,-0.2842105263,-0.2653554404,-0.01885508587,False
347,-0.2042105263,-0.5381805203,0.333969994,False
348,-0.3221052632,-0.7355312372,0.413425974,False
